Source,Destination,Address,City,State,Lat long of A,Lat long of B,Source Lat,Source Long,Dest Lat,Dest Long,Distance (km)
Zolo BLR_Singasandra WH,Zolo Delphi,"3rd Cross Road,Neeladri Nagar,Electronics Phase 1,Electronic ,Karnataka,Bangalore - 560100",Bangalore,Karnataka,"12.8396102, 77.6500389","12.8903965, 77.6273899",12.8396102,77.6500389,12.8903965,77.6273899,6.13
Zolo Faridabad Warehouse,Zolo Rhythm,"DivineStays GuesthHouse, Islampur Village, Sector 38, Gurugram, Haryana 122001",Gurugram,Haryana,"28.4354839, 77.037736","28.4586177, 77.3070471",28.4354839,77.037736,28.4586177,77.3070471,26.5
Zolo BLR_Singasandra WH,Zolo Rhapsody,"BBMP Khatha No.9, 6th Cross Road,Ejipura, Bengaluru, 560047",Bangalore,Karnataka,"12.9176195, 77.65192569999999","12.8903965, 77.6273899",12.9176195,77.6519257,12.8903965,77.6273899,4.02
Zolo BLR_Singasandra WH,Zolo Phantom,"KHB Colony,5th Block,Koramangala,Bangalore - 560095",Bangalore,Karnataka,"12.9358189, 77.6178125","12.8903965, 77.6273899",12.9358189,77.6178125,12.8903965,77.6273899,5.13
Zolo Pune Warehouse_New,Zolo Heritage,"A-G3 FLOOR-GRD PLOT-109, Heritage Apartment, Jai Bharat Mata Nagar, Sion East,Mumbai, Mumbai Suburban, Maharashtra, 400022",Mumbai,Maharashtra,"19.0322736, 72.867351","18.6124747, 73.71542149999999",19.0322736,72.867351,18.6124747,73.7154215,100.75
Zolo Pune Warehouse_New,Zolo Saffron,"Flat no 301,A wing,A&O Palazzio,Natwar Nagar Society Road No.1,Jogeshwari east,Mumbai - 400060",Mumbai,Maharashtra,"19.1293579, 72.85472109999999","18.6124747, 73.71542149999999",19.1293579,72.8547211,18.6124747,73.7154215,107.23
Zolo Pune Warehouse_New,Zolo Hendrix,"Sr. No. 13,House No-252,Saumitra Road,Opposite Sankalp Classes, Satavwadi,Saswad Road, Hadapsar,Maharashtra,Pune - 411028",Pune,Maharashtra,"18.4964551, 73.9450964","18.6124747, 73.71542149999999",18.4964551,73.9450964,18.6124747,73.7154215,27.44
Zolo Chennai Warehouse_2,Zolo Landchester,"The Central Park Lake Front (TCP Lake Front),Model School Road,Sholinganallur,Tamil Nadu,Chennai - 600119",Chennai,Tamil Nadu,"12.8951457, 80.2215734","13.0675449, 80.1491821",12.8951457,80.2215734,13.0675449,80.1491821,20.63
Zolo Chennai Warehouse_2,Zolo Houston,"14,Ashoka St,Sriram Colony,Alwarpet,Tamil Nadu,Chennai - 600018",Chennai,Tamil Nadu,"13.0340934, 80.2558784","13.0675449, 80.1491821",13.0340934,80.2558784,13.0675449,80.1491821,12.15
Zolo Chennai Warehouse_2,Zolo Nook,"Lal Bahadur Shastri St,Laxmi Nagar Extension,Sholinganallur,Tamil Nadu ,Chennai - 600097",Chennai,Tamil Nadu,"12.9066284, 80.2307111","13.0675449, 80.1491821",12.9066284,80.2307111,13.0675449,80.1491821,19.88
